Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 46.26      0.43     0.43        1   430.21   930.45  HoughCircle::execute(cv::Mat&, int, int, int, std::vector<cv::Point3_<float>, std::allocator<cv::Point3_<float> > >&) const
 31.20      0.72     0.29 221367829     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned long)
 15.06      0.86     0.14 69728426     0.00     0.00  unsigned char& cv::Mat::at<unsigned char>(int, int)
  6.45      0.92     0.06        1    60.03    60.03  std::vector<cv::Mat, std::allocator<cv::Mat> >::~vector()
  1.08      0.93     0.01    89600     0.00     0.00  unsigned char const& cv::Mat::at<unsigned char const>(int, int)
  0.00      0.93     0.00     6153     0.00     0.00  cv::_InputArray::init(int, void const*)
  0.00      0.93     0.00     4110     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.93     0.00     4086     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point3_<float>*, std::vector<cv::Point3_<float>, std::allocator<cv::Point3_<float> > > >::base() const
  0.00      0.93     0.00     4080     0.00     0.00  cvRound(float)
  0.00      0.93     0.00     4080     0.00     0.00  cv::Point3_<float>::Point3_(cv::Point3_<float> const&)
  0.00      0.93     0.00     4080     0.00     0.00  int cv::saturate_cast<int>(float)
  0.00      0.93     0.00     4040     0.00     0.00  cv::Point3_<float>* std::__addressof<cv::Point3_<float> >(cv::Point3_<float>&)
  0.00      0.93     0.00     2069     0.00     0.00  cv::_InputArray::~_InputArray()
  0.00      0.93     0.00     2069     0.00     0.00  cv::Size_<int>::Size_()
  0.00      0.93     0.00     2044     0.00     0.00  cv::_InputArray::_InputArray()
  0.00      0.93     0.00     2044     0.00     0.00  cv::_OutputArray::~_OutputArray()
  0.00      0.93     0.00     2042     0.00     0.00  bool __gnu_cxx::operator!=<cv::Point3_<float>*, std::vector<cv::Point3_<float>, std::allocator<cv::Point3_<float> > > >(__gnu_cxx::__normal_iterator<cv::Point3_<float>*, std::vector<cv::Point3_<float>, std::allocator<cv::Point3_<float> > > > const&, __gnu_cxx::__normal_iterator<cv::Point3_<float>*, std::vector<cv::Point3_<float>, std::allocator<cv::Point3_<float> > > > const&)
  0.00      0.93     0.00     2042     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point3_<float> const*, std::vector<cv::Point3_<float>, std::allocator<cv::Point3_<float> > > >::base() const
  0.00      0.93     0.00     2040     0.00     0.00  cv::_OutputArray::_OutputArray()
  0.00      0.93     0.00     2040     0.00     0.00  cv::_InputOutputArray::_InputOutputArray(cv::Mat&)
  0.00      0.93     0.00     2040     0.00     0.00  cv::_InputOutputArray::~_InputOutputArray()
  0.00      0.93     0.00     2040     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00      0.93     0.00     2040     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00      0.93     0.00     2040     0.00     0.00  cv::Point_<float>::Point_(float, float)
  0.00      0.93     0.00     2040     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.00      0.93     0.00     2040     0.00     0.00  cv::Scalar_<double>::Scalar_(double, double, double, double)
  0.00      0.93     0.00     2040     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point3_<float>*, std::vector<cv::Point3_<float>, std::allocator<cv::Point3_<float> > > >::operator++()
  0.00      0.93     0.00     2040     0.00     0.00  _ZNK2cv6Point_IfEcvNS0_IT_EEIiEEv
  0.00      0.93     0.00     2040     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point3_<float>*, std::vector<cv::Point3_<float>, std::allocator<cv::Point3_<float> > > >::operator*() const
  0.00      0.93     0.00     2020     0.00     0.00  void std::_Construct<cv::Point3_<float>, cv::Point3_<float> const&>(cv::Point3_<float>*, cv::Point3_<float> const&)
  0.00      0.93     0.00     2020     0.00     0.00  cv::Point3_<float> const& std::forward<cv::Point3_<float> const&>(std::remove_reference<cv::Point3_<float> const&>::type&)
